ID,WEIGHTBEFORE,WEIGHTAFTER,SEX,FINALHL,FINALTL,FINALTAILGIRTH,FINALNECKGIRTH,TREAT,ESTRADIOL,CORT,ORDER,H:L,TITER,E2
D,83.4,107.7,F,4.6,24.4,5.5,6.2,Control,418.1422,2617.342029,1,0.282051282,0,No
G,123.7,156.6,F,5.3,38.3,6.2,6.7,Control,606.0363,,2,0.1,2.5,No
I,120.8,145.5,M,5.4,37.3,6.2,6.9,Control,418.0928,1940.416087,3,0.074468085,0,No
M,93.8,122.7,M,4.9,33.6,5.7,6.3,Control,426.4458,3543.796469,4,0.207317073,1,No
N,87,110.4,M,4.8,31.3,5.4,6.1,Control,364.1474,2708.185052,5,0.149425287,0,No
Q,122.7,146.6,F,5.3,36.2,6.2,6.7,Control,556.1014,1428.175189,6,0.112359551,1.5,No
U,141.2,174.7,M,5.6,38.9,6.5,6.9,Control,498.2075,411.9874438,7,0.305555556,4,No
A,125.4,159,F,5.3,37.9,6.6,6.7,High,687.4642,888.4154083,16,0.818181818,2,Yes
C,153.2,183.6,M,5.6,39.4,7.1,7.5,High,622.7054,1969.957896,17,0.296703297,1,Yes
E,111.1,139.4,M,5,34.8,5.9,6.2,High,590.7420,950.3215972,18,0.111111111,2.5,Yes
K,80.3,104.1,M,4.7,32,5.4,6,High,557.8048,597.7400804,19,0.222222222,3.5,Yes
L,89.6,112.2,M,4.8,33,5.6,6.3,High,512.4536,1917.118897,20,0.074074074,1,Yes
R,97.8,125.6,M,4.9,32.9,5.7,6.4,High,501.4295,1369.457034,21,,3.5,Yes
V,87.1,119.9,F,4.9,32.6,5.2,5.9,High,677.8513,2873.520929,22,0.178571429,3.5,Yes
W,111.9,138.5,M,5.3,35.8,6.1,6.6,High,475.9608,2983.791384,23,0.358974359,0,Yes
B,115.7,131.3,M,5.3,37.6,6.3,6.7,Low,385.9891,,8,0.075949367,0,Yes
F,72.3,89.8,F,4.4,30.4,5.2,5.7,Low,597.7179,,9,0.555555556,2,Yes
H,123.4,159.9,F,5.1,36.7,6.3,6.7,Low,684.4474,259.4346883,10,0.138297872,2,Yes
O,86.7,109.9,F,4.7,31.9,5.2,6,Low,337.2182,,11,0.053763441,0,Yes
P,117.5,150.5,M,5.1,35.9,6.2,6.7,Low,565.5215,,12,0.256097561,1.5,Yes
S,79,106.6,F,4.7,29.3,5.2,6.1,Low,619.7053,299.3493143,13,0.338028169,3.5,Yes
T,119.8,156,F,5.2,36.8,6,6.8,Low,793.7223,,14,0.178571429,2,Yes
X,103.1,133.3,M,5,34.6,5.8,6.6,Low,217.8000,541.9734472,15,0.151162791,2,Yes