ID,VALUE,CONC,TREAT
A,ESTRADIOL,687.4642,High
B,ESTRADIOL,385.9891,Low
C,ESTRADIOL,622.7054,High
D,ESTRADIOL,418.1422,Control
E,ESTRADIOL,590.7420,High
F,ESTRADIOL,597.7179,Low
G,ESTRADIOL,606.0363,Control
H,ESTRADIOL,684.4474,Low
I,ESTRADIOL,418.0928,Control
K,ESTRADIOL,557.8048,High
L,ESTRADIOL,512.4536,High
M,ESTRADIOL,426.4458,Control
N,ESTRADIOL,364.1474,Control
O,ESTRADIOL,337.2182,Low
P,ESTRADIOL,565.5215,Low
Q,ESTRADIOL,556.1014,Control
R,ESTRADIOL,501.4295,High
S,ESTRADIOL,619.7053,Low
T,ESTRADIOL,793.7223,Low
U,ESTRADIOL,498.2075,Control
V,ESTRADIOL,677.8513,High
W,ESTRADIOL,475.9608,High
X,ESTRADIOL,217.8000,Low
A,CORT,888.4154083,High
B,CORT,,Low
C,CORT,1969.957896,High
D,CORT,2617.342029,Control
E,CORT,950.3215972,High
F,CORT,,Low
G,CORT,,Control
H,CORT,259.4346883,Low
I,CORT,1940.416087,Control
K,CORT,597.7400804,High
L,CORT,1917.118897,High
M,CORT,3543.796469,Control
N,CORT,2708.185052,Control
O,CORT,,Low
P,CORT,,Low
Q,CORT,1428.175189,Control
R,CORT,1369.457034,High
S,CORT,299.3493143,Low
T,CORT,,Low
U,CORT,411.9874438,Control
V,CORT,2873.520929,High
W,CORT,2983.791384,High
X,CORT,541.9734472,Low